cs,alt1,alt2,alt3,alt4,alt5,alt6,alt7,alt8,alt9,alt10
1,1,,3,,5,,7,,,10
2,1,2,,,,,,8,9,10
3,,,3,4,5,,,8,,10
4,1,2,,4,5,6,,,,
5,,2,,,5,6,,,9,10
6,,2,3,,,6,7,8,,
7,,,,4,5,,7,8,9,
8,1,,3,,,6,,8,9,
9,,2,3,4,,,7,,9,
10,1,,,4,,6,7,,,10
